,naic_cd,naics_code_description,total_flsa_bw_atp_amt,total_flsa_ee_atp_cnt,total_observations,num_firms,num_establishments,num_employed,payroll,receipts,flsa_severity_idx,flsa_reported_rt,flsa_suscptbl_idx
"('561110', 'Office Administrative Services')",561110,Office Administrative Services,0.0,0.0,143,104126,109874,1323938,73308183,188220718,,0.108011100218,
"('5612', 'Facilities Support Services')",5612,Facilities Support Services,0.0,0.0,32,5942,12132,424070,19340936,48474767,,0.0754592402198,
"('56121', 'Facilities Support Services')",56121,Facilities Support Services,0.0,0.0,51,5942,12132,424070,19340936,48474767,,0.1202631641,
"('561210', 'Facilities Support Services')",561210,Facilities Support Services,0.0,0.0,254,5942,12132,424070,19340936,48474767,,0.598957719244,
"('5613', 'Employment Services')",5613,Employment Services,0.0,0.0,82,86611,128763,11375932,318609359,440814408,,0.00720820061161,
"('56131', 'Employment Placement Agencies and Executive Search Services')",56131,Employment Placement Agencies and Executive Search Services,0.0,0.0,150,29564,31306,666982,19989562,36120450,,0.224893625315,
"('561310', 'Employment Placement Agencies')",561310,Employment Placement Agencies,0.0,0.0,334,29564,31306,666982,19989562,36120450,,0.500763139035,
"('56132', 'Temporary Help Services')",56132,Temporary Help Services,0.0,0.0,280,42107,80051,6496174,148823049,223586131,,0.0431022937501,
"('561320', 'Temporary Help Services')",561320,Temporary Help Services,0.0,0.0,1246,42107,80051,6496174,148823049,223586131,,0.191805207188,
"('56133', 'Professional Employer Organizations')",56133,Professional Employer Organizations,66.82,1.0,143,15368,17406,4207594,149796748,181107827,1.5880809793e-05,0.0339861688176,0.000467272727273
"('561330', 'Professional Employer Organizations')",561330,Professional Employer Organizations,0.0,0.0,66,15368,17406,4207594,149796748,181107827,,0.0156859240697,
"('5614', 'Business Support Services')",5614,Business Support Services,277.315,0.5,12,114798,127988,1954647,58315300,163265126,0.000141874722137,0.00613921593004,0.0231095833333
"('56141', 'Document Preparation Services')",56141,Document Preparation Services,0.0,0.0,14,19175,19420,130037,4113828,10747618,,0.107661665526,
"('561410', 'Document Preparation Services')",561410,Document Preparation Services,0.0,0.0,49,19175,19420,130037,4113828,10747618,,0.376815829341,
"('56142', 'Telephone Call Centers')",56142,Telephone Call Centers,0.0,0.0,214,14235,17221,886130,21953843,47356948,,0.241499554241,
"('561421', 'Telephone Answering Services')",561421,Telephone Answering Services,458.52,2.0,91,6009,6674,157258,4107206,11332519,0.00291571811927,0.578666904068,0.00503868131868
"('561422', 'Telemarketing Bureaus and Other Contact Centers')",561422,Telemarketing Bureaus and Other Contact Centers,757.45,3.0,428,8252,10547,728872,17846637,36024429,0.00103920853044,0.587208728007,0.00176974299065
"('56143', 'Business Service Centers')",56143,Business Service Centers,489.47,1.0,16,33330,39469,286092,8129923,30506778,0.00171088321239,0.0559260657411,0.030591875
"('561431', 'Private Mail Centers')",561431,Private Mail Centers,0.0,0.0,145,21496,21976,94999,1799253,9827831,,1.52633185612,
"('561439', 'Other Business Service Centers (including Copy Shops)')",561439,Other Business Service Centers (including Copy Shops),116.745,1.0,50,11838,17493,191093,6330670,20678947,0.000610932896548,0.261652703134,0.0023349
"('56144', 'Collection Agencies')",56144,Collection Agencies,2973.215,5.5,66,16530,18070,382482,12724506,32865011,0.00777347692179,0.172557139944,0.0450487121212
"('561440', 'Collection Agencies')",561440,Collection Agencies,808.53,1.0,208,16530,18070,382482,12724506,32865011,0.00211390339938,0.543816441035,0.00388716346154
"('561450', 'Credit Bureaus')",561450,Credit Bureaus,874.8,1.0,3,2431,3142,59745,4111373,15278030,0.0146422294753,0.0502134069797,0.2916
"('56149', 'Other Business Support Services')",56149,Other Business Support Services,557.63,1.0,30,29322,30666,210161,7281827,26250332,0.0026533467199,0.142747702952,0.0185876666667
"('561491', 'Repossession Services')",561491,Repossession Services,1799.94,4.0,27,3442,3722,21324,668535,2586020,0.0844091164885,1.26617895329,0.0666644444444
"('561492', 'Court Reporting and Stenotype Services')",561492,Court Reporting and Stenotype Services,376.71,1.0,14,12958,13346,50388,1889983,7255872,0.00747618480591,0.277843931095,0.0269078571429
"('561499', 'All Other Business Support Services')",561499,All Other Business Support Services,0.0,0.0,140,12926,13598,138368,4723309,16408440,,1.0117946346,
"('5615', 'Travel Arrangement and Reservation Services')",5615,Travel Arrangement and Reservation Services,38601.28,8.0,5,66766,79398,663866,31221980,107204370,0.0581461921532,0.00753164042141,7.720256
"('56151', 'Travel Agencies')",56151,Travel Agencies,0.0,0.0,30,46516,55772,347231,16305858,48336838,,0.0863978158632,
"('561510', 'Travel Agencies')",561510,Travel Agencies,832.25,2.0,83,46516,55772,347231,16305858,48336838,0.00239681940841,0.239033957222,0.0100271084337
"('56152', 'Tour Operators')",56152,Tour Operators,8385.9,5.0,9,10215,10782,90146,3711779,13427899,0.0930257582145,0.0998380405121,0.931766666667
"('561520', 'Tour Operators')",561520,Tour Operators,467.76,1.0,49,10215,10782,90146,3711779,13427899,0.00518891575888,0.54356266501,0.00954612244898
"('56159', 'Other Travel Arrangement and Reservation Services')",56159,Other Travel Arrangement and Reservation Services,2177.465,1.5,16,10256,12844,226489,11204343,45439633,0.00961399891385,0.0706436074158,0.1360915625
"('561591', 'Convention and Visitors Bureaus')",561591,Convention and Visitors Bureaus,259.48,3.0,3,3874,4061,34522,1242490,4412016,0.00751636637507,0.0869011065408,0.0864933333333
"('561599', 'All Other Travel Arrangement and Reservation Services')",561599,All Other Travel Arrangement and Reservation Services,435.0,1.0,39,6382,8783,191962,9961766,41027269,0.00226607349371,0.203165209781,0.0111538461538
"('5616', 'Investigation and Security Services')",5616,Investigation and Security Services,0.0,0.0,88,75329,87128,1931424,49583589,108023676,,0.0455622380171,
"('56161', 'Investigation, Guard, and Armored Car Services')",56161,"Investigation, Guard, and Armored Car Services",0.0,0.0,170,39456,48690,1582041,35740740,62677397,,0.107456127875,
